tweet_id,name,dog_stage,breed,rating
837820167694528512,,pupper,golden_retriever,1.2
837482249356513284,Waffles,,,1.3
837471256429613056,Vincent,,norwegian_elkhound,1.2
837110210464448512,Clark,pupper,siberian_husky,1.3
836989968035819520,Mookie,,toy_poodle,1.2
836753516572119041,Meera,doggo,schipperke,1.2
836677758902222849,Oliver,,,1.1
836380477523124226,Ava,pupper,,1.2
836260088725786625,Lucy,,borzoi,1.3
836001077879255040,,,samoyed,1.3
835574547218894849,Eli,,staffordshire_bullterrier,1.1
835297930240217089,Ash,,rottweiler,1.2
835264098648616962,Lola,,chesapeake_bay_retriever,1.2
835172783151792128,,,border_collie,1.2
834931633769889797,Tucker,,soft-coated_wheaten_terrier,1.2
834786237630337024,Tobi,,border_terrier,1.3
834574053763584002,,doggo,golden_retriever,1.3
834458053273591808,Chester,,rhodesian_ridgeback,1.2
834209720923721728,Wilson,,golden_retriever,1.2
834167344700198914,Sunshine,,,1.1
834086379323871233,Lipton,,labrador_retriever,1.2
833863086058651648,Bentley,,kuvasz,1.2
833826103416520705,Charlie,,chihuahua,1.3
833722901757046785,Bronte,,west_highland_white_terrier,1.3
833479644947025920,Poppy,,golden_retriever,1.3
833124694597443584,Gidget,pupper,cardigan,1.2
832998151111966721,Rhino,doggo,boxer,1.3
832757312314028032,Willow,,cardigan,1.3
832636094638288896,Orion,,eskimo_dog,1.2
832397543355072512,Eevee,,pekinese,1.2
832369877331693569,Charlie,,kelpie,1.1
832273440279240704,Smiley,doggo,pembroke,1.4
832032802820481025,Miguel,doggo,whippet,1.2
831939777352105988,Emanuel,doggo,pomeranian,1.2
831911600680497154,Kuyu,,bloodhound,1.4
831670449226514432,Daisy,,pembroke,1.3
831650051525054464,,,eskimo_dog,1.3
831552930092285952,Dutch,,chihuahua,1.3
831322785565769729,Pete,doggo,old_english_sheepdog,1.2
831315979191906304,,pupper,briard,1.3
831309418084069378,Scooter,,doberman,1.2
831262627380748289,Tucker,,cocker_spaniel,1.2
830956169170665475,Reggie,,kuvasz,1.2
830583320585068544,Lilly,,labrador_retriever,1.3
830097400375152640,Samson,,toy_poodle,1.3
829861396166877184,Mia,,border_terrier,1.2
829501995190984704,Leo,,french_bulldog,1.2
829449946868879360,,doggo,labrador_retriever,1.1
829141528400556032,Malcolm,,golden_retriever,1.2
829011960981237760,Dexter,,boxer,1.3
828770345708580865,Alfie,,chesapeake_bay_retriever,1.3
828708714936930305,Fiona,,mexican_hairless,1.0
828650029636317184,,,golden_retriever,1.4
828409743546925057,Mutt,,toy_poodle,1.2
828408677031882754,Bear,,weimaraner,1.2
828381636999917570,Doobert,doggo,bedlington_terrier,1.4
828376505180889089,Beebop,,american_staffordshire_terrier,1.3
828372645993398273,Alexander,,malamute,1.2
828046555563323392,Sailer,,,1.3
828011680017821696,Brutus,,american_staffordshire_terrier,1.1
827933404142436356,Kona,pupper,german_shepherd,1.2
827653905312006145,Boots,,collie,1.2
827600520311402496,Tucker,,pembroke,1.3
827324948884643840,Ralphie,,golden_retriever,1.2
827199976799354881,Charlie,,great_dane,1.3
826958653328592898,Loki,doggo,golden_retriever,1.2
826848821049180160,Cupid,doggo,great_pyrenees,1.3
826598365270007810,Pawnd,,french_bulldog,1.3
826476773533745153,Pilot,doggo,german_shepherd,1.2
826240494070030336,,,french_bulldog,1.1
826204788643753985,,doggo,labrador_retriever,1.3
826115272272650244,Ike,,golden_retriever,1.3
825876512159186944,Mo,,,1.1
825829644528148480,Toby,,great_pyrenees,1.2
825535076884762624,,puppo,rottweiler,1.4
825147591692263424,Sweet,,pekinese,1.3
825026590719483904,Pablo,puppo,eskimo_dog,1.2
824775126675836928,Scooter,,border_terrier,1.2
824663926340194305,Wilson,,english_setter,1.3
824325613288833024,,pupper,pembroke,1.3
824297048279236611,Nala,,,1.1
823939628516474880,Cash,,schipperke,1.2
823699002998870016,Winston,,cairn,1.2
823581115634085888,Crawford,,german_shepherd,1.1
